114年度會計項目代號名稱對照表,
會計項目代號,項目中文名稱
0100001,營業收入總額
0100002,減：銷貨退回
0100003,    銷貨折讓
0100004,營業收入淨額
0100005,營業成本
0100006,營業毛利
0100008,營業費用及損失總額
0100010,薪資支出
0100011,租金支出
0100012,文具用品
0100013,旅費
0100014,運費
0100015,郵電費
0100016,修繕費
0100017,廣告費
0100018,水電瓦斯費
0100019,保險費
0100020,交際費
0100021,捐贈
0100022,稅捐
0100023,呆帳損失
0100024,折舊
0100025,各項耗竭及攤提（包括商譽攤銷）
0100026,外銷損失
0100027,伙食費
0100028,職工福利
0100029,研究發展費
0100030,佣金支出
0100031,訓練費
0100032,其他費用
0100033,營業淨利
0100034,非營業收入總額
0100035,投資收益（含權益法之投資收益）及一般股息及紅利（含國外投資收益）
0100137,依所得稅法第43條之3規定計算之投資收益
0100036,依所得稅法第42條規定取得之股利或盈餘
0100038,利息收入
0100039,租賃收入
0100040,處分資產利益（包括證券、期貨、土地交易所得)
0100041,佣金收入
0100043,兌換盈益
0100044,其他收入
0100045,非營業損失及費用總額
0100046,利息支出
0100047,投資損失
0100048,處分資產損失（包括證券、期貨、土地交易損失)
0100049,災害損失
0100051,兌換虧損
0100052,其他損失
0100053,全年所得額
0100122,所得稅費用
0201000,資產總額
0201100,流動資產
0201111,    現金
0201112,    銀行存款
0201113,    約當現金
0201114,    短期性之投資
0201151,    透過損益按公允價值衡量之金融資產－流動
0201154,    避險之金融資產－流動
0201158,    透過其他綜合損益按公允價值衡量之金融資產－流動
0201161,    按攤銷後成本衡量之金融資產－流動
0201157,    其他金融資產－流動
0201159,        減：累計減損
0201125,    合約資產－流動
0201126,        減：累計減損
0201121,    應收票據
0201122,        減：備抵呆帳
0201123,    應收帳款
0201124,        減：備抵呆帳
0201129,    其他應收款
0201130,    存貨
0201131,        商品
0201132,        製成品
0201133,        在製品（或在建工程）
0201134,        原料
0201135,        物料
0201136,        寄銷品
0201138,        其他
0201137,            減：備抵存貨跌價
0201140,    預付款項
0201141,        預付費用
0201142,        用品盤存
0201143,        預付貨款
0201144,        進項稅款
0201145,        留抵稅額
0201149,        其他預付款
0201190,    其他流動資產
0201191,        暫付款
0201192,        業主（股東）往來
0201193,        同業往來
0201199,        其他流動資產－其他
0201200,非流動資產
0201300,    長期性之投資
0201302,        減：累計減損
0201612,    透過損益按公允價值衡量之金融資產－非流動
0201615,    避險之金融資產－非流動
0201621,    透過其他綜合損益按公允價值衡量之金融資產－非流動
0201622,    按攤銷後成本衡量之金融資產－非流動
0201618,    其他金融資產－非流動
0201630,    採用權益法之投資
0201631,        減：累計減損
0201640,    合約資產－非流動
0201641,        減：累計減損
0201400,    不動產、廠房及設備（固定資產）
0201410,        土地
0201411,            減：累計減損
0201431,        房屋及建築
0201432,            減：累計折舊
